month	day	year	Date	Deaths	Week
7	23	2008	7/23/08	2	30
7	31	2008	7/31/08	5	31
8	1	2008	8/1/08	19	31
8	2	2008	8/2/08	11	31
8	3	2008	8/3/08	18	32
8	4	2008	8/4/08	28	32
8	5	2008	8/5/08	27	32
8	6	2008	8/6/08	56	32
8	7	2008	8/7/08	12	32
8	8	2008	8/8/08	6	32
8	9	2008	8/9/08	18	32
8	10	2008	8/10/08	13	33
8	11	2008	8/11/08	7	33
8	12	2008	8/12/08	5	33
8	13	2008	8/13/08	4	33
8	14	2008	8/14/08	2	33
8	15	2008	8/15/08	3	33
8	16	2008	8/16/08	3	33
8	17	2008	8/17/08	11	34
8	18	2008	8/18/08	5	34
8	19	2008	8/19/08	1	34
8	20	2008	8/20/08	4	34
8	21	2008	8/21/08	1	34
8	22	2008	8/22/08	4	34
8	23	2008	8/23/08	6	34
8	24	2008	8/24/08	7	35
8	25	2008	8/25/08	0	35
8	26	2008	8/26/08	0	35
8	27	2008	8/27/08	0	35
8	28	2008	8/28/08	0	35
8	29	2008	8/29/08	2	35
8	30	2008	8/30/08	0	35
8	31	2008	8/31/08	0	36
9	1	2008	9/1/08	0	36
9	2	2008	9/2/08	0	36
9	3	2008	9/3/08	4	36
